Sample,SIO2,TIO2,AL2O3,FE2O3tot,MnO,MgO,CaO,Na2O,K2O,P2O5,LOI
PG3,45.58,2.29,14.56,12.26,0.161,4.68,11,2.71,0.61,0.28,6.41
PG9,48.57,1.54,14.35,11.86,0.204,8.16,9.21,2.61,0.1,0.132,2.56
PG30,49.93,2.17,14.39,13.99,0.2,5.62,9.46,1.98,0.16,0.176,2.13
PG31,46.69,1.59,16.45,11.06,0.18,6.41,12.7,1.6,0.08,0.187,2.15
